"ID","Title","Screen to Open","Notification Type","Message"
"Bank Rejected","Bank Rejected","Dashboard","Success","The request for linking your Bank account has been rejected."
"Bank Approved","Bank Approved","Dashboard","Success","Your request for linking Bank account has been approved."
"Ckyc Rejected","Ckyc Rejected","Dashboard","Success","Your KYC Request has been rejected due to mismatch in the details, please fill in
the requirements again in order to continue further journey."
"Ckyc Approved","Ckyc Approved","Dashboard","Success","Your KYC Request has been approved, please continue with the further journey."
"Pledge accepted","Pledge accepted","Dashboard","Success","Congratulations! Your loan application has been accepted. Please e-sign the loan agreement to avail the loan now."
"Pledge rejected","Pledge rejected","Dashboard","Warning","Sorry! Your loan application was turned down since the {pledge} was not successful due to technical reasons"
"Pledge partially accepted","Pledge partially accepted","Dashboard","Success","Congratulations! Your {pledge} request was successfully considered and was partially accepted. Please e-sign the loan agreement to avail the loan now."
"E-signing was successful","E-signing was successful","Dashboard","Success","Your E-sign process is completed. You shall soon receive a confirmation of your loan approval."
"Loan approved","Loan approved","My Loans","Success","Congratulations! Your loan account is open. You may now withdraw funds as per your convenience."
"Loan rejected","Loan rejected","My Loans","Warning","Sorry! Your loan application was turned down due to technical reasons."
"Unpledge application accepted","Unpledge application accepted","My Loans","Success","Congratulations! Your {unpledge} request has been successfully executed."
"Unpledge application rejected","Unpledge application rejected","My Loans","Warning","Sorry! Your {unpledge} application was turned down due to technical reasons."
"Sell request executed","Sell request executed","My Loans","Success","Congratulations! Your {sell} collateral request has been successfully executed and {sale} proceeds credited to your loan account."
"Sell request rejected","Sell request rejected","My Loans","Warning","Sorry! Your {sell} collateral request was turned down due to technical reasons."
"Application for top-up accepted","Application for top-up accepted","Dashboard","Success","Congratulations! Your Top Up application has been accepted. Please e-sign the loan agreement to avail the loan now."
"Topup E-signing was successful","E-signing was successful","Dashboard","Success","Your E-sign process is completed. You shall soon receive a confirmation of your new OD limit."
"Loan account topped up","Loan account topped up","My Loans","Success","Congratulations! Your loan account has been topped up."
"Top up rejected","Top up rejected","My Loans","Warning","Sorry! Your top up request could not be executed due to technical reasons."
"Margin shortfall – Action required after hours","Margin shortfall – Action required","Margin Shortfall Action","Warning","URGENT ACTION REQUIRED. There is a margin shortfall in your loan account {loan}. Please take an appropriate action within {shortfall_action} hours; else {sale} will be triggered."
"Margin shortfall – Action required at eod","Margin shortfall – Action required","Margin Shortfall Action","Warning","URGENT ACTION REQUIRED. There is a margin shortfall in your loan account {loan} which exceeds {max_threshold}% of portfolio value. Please take an appropriate action by {eod_time} Today; else {sale} will be triggered."
"Sale triggerred immediate","Sale triggerred","Margin Shortfall Action","Warning","URGENT NOTICE.{Sale} has been triggered in your loan account as margin shortfall exceeds {max_threshold}% of portfolio value."
"Sale triggerred inaction","Sale triggerred","Margin Shortfall Action","Warning","URGENT NOTICE. A {sale} has been triggered in your loan account {loan} due to inaction on your part to mitigate margin shortfall."
"Sale triggerred completed","Sale triggerred completed","My Loans","Warning","Sale of securities initiated by the lending partner for your loan account {loan} is now completed."
"Margin shortfall – Action taken","Margin shortfall – Action taken","Margin Shortfall Action","Success","Thank you for taking action against the margin shortfall."
"Increase loan application accepted","Increase loan application accepted","Dashboard","Success","Congratulations! Your Increase loan application has been accepted. Please e-sign the loan agreement to avail the loan now."
"Increase loan application rejected","Increase loan application rejected","Dashboard","Warning","Sorry! Your Increase loan application was turned down since the pledge was not successful due to technical reasons."
"Increase loan application partially accepted","Increase loan application partially accepted","Dashboard","Success","Congratulations! Your pledge request was successfully considered and was partially accepted for Rs. {total_collateral_value_str} due to technical reasons.Please e-sign the loan agreement to avail the loan now."
"Increase loan application approved","Increase loan application approved","My Loans","Success","Congratulations! Your loan limit has been successfully increased. You may now withdraw funds as per your convenience."
"Increase loan application turned down","Increase loan application turned down","Dashboard","Warning","Sorry! Your Increase loan application was turned down due to technical reasons."
"Withdrawal successful","Withdrawal successful","My Loans","Success","Your withdrawal request has been executed and Rs. {amount} transferred to your designated bank account."
"Partial withdrawal successful","Partial withdrawal successful","My Loans","Success","Your withdrawal request for Rs. {requested} has been partially executed and Rs. {disbursed} transferred to your designated bank account."
"Withdrawal rejected","Withdrawal rejected","My Loans","Warning","Sorry! Your withdrawal request has been rejected by our lending partner for technical reasons."
"Payment credited to account","Payment credited to account","My Loans","Success","You loan account {loan} has been credited by payment of Rs. {amount} . Your loan balance is Rs. {loan_balance}. {datetime}"
"Payment failed","Payment failed","My Loans","Warning","Sorry! Your payment of Rs. {amount} was unsuccessful against loan account {loan}. Please check with your bank for details."
"Interest due","Interest due","My Loans","Warning","An interest of Rs. {unpaid_interest} is due on your loan account {loan}.
Please pay the interest due before the 7th of this month in order to continue to enjoy the rebate provided on the interest rate."
"Rebate reversed","Rebate reversed","My Loans","Warning","Rebate of Rs. {unpaid_interest} was reversed in your loan account {loan}. This will appear as 'Addl Interest' in your loan account. 
Please pay the interest due before the 15th of this month in order to avoid the penal interest/charges."
"Penal interest charged","Penal interest charged","My Loans","Warning","Penal interest of Rs.{unpaid_interest} has been debited to your loan account {loan} .
Please pay the total interest due immediately in order to avoid further penal interest charges."
"Margin shortfall timer resumed","Margin shortfall timer resumed","Margin Shortfall Action","Warning","Dear Customer,
The margin shortfall timer has been resumed on your loan account {loan}"
"Margin shortfall timer paused","Margin shortfall timer paused","Margin Shortfall Action","Warning","Dear Customer,
Due to bank holiday the margin shortfall timer on your loan account {loan} has been paused on {stop_time} and will resume on {start_time}."
"Lien unsuccessful","Lien unsuccessful","Dashboard","Warning","Sorry! Your loan application was turned down since the requested loan amount is not in the range of lender's minimum sanction limit (Rs.{minimum_sanctioned_limit}) and maximum sanction limit (Rs.{maximum_sanctioned_limit}) criteria"
