Title,Message
"Payment Failed
(lms/init -1425)","Dear Customer,\nSorry! Your payment of Rs. {} was unsuccessful against loan account {}. Please check with your bank for details. Spark Loans"
"Margin short fall - action taken
(lms/init-1398)","Dear Customer,\nThank you for taking action against the margin shortfall.\nYou can view the 'Action Taken' summary on the dashboard of the app under margin shortfall banner. Spark Loans"
"Payment Successful
(lms/init -)","Dear Customer,\nCongratulations! You payment of Rs. {} has been successfully received against loan account {}. It shall be reflected in your account within 24 hours . Spark Loans"
"Payment Request
(lms/init -1420)","Dear Customer,\nCongratulations! You payment of Rs. {} has been successfully received against loan account {}. It shall be reflected in your account within 24 hours . Spark Loans"
"Topup E-signing was successful
(loan - 386)","Dear Customer,\nYour E-sign process is completed. You shall soon receive a confirmation of your new OD limit. Thank you for your patience. - Spark Loans"
"Top Up Request
(loan - 784)","Dear Customer,\nYour top up request has been successfully received and is under process. We shall reach out to you very soon. Thank you for your patience -Spark Loans"
"Withdrawal Request
(loan -1478)","Dear Customer,\nYour withdrawal request has been received and is under process. We shall reach out to you very soon. Thank you for your patience -Spark Loans"
"Payment Request
(loan -1570)","Dear Customer,\nSorry! Your payment of Rs. {} was unsuccessful against loan account {}. Please check with your bank for details. Spark Loans"
"Margin short fall - action taken
(loan-2938)","Dear Customer,\nThank you for taking action against the margin shortfall.\nYou can view the 'Action Taken' summary on the dashboard of the app under margin shortfall banner. Spark Loans"
"Margin short fall - action taken
(cart-147)","Dear Customer,\nThank you for taking action against the margin shortfall.\nYou can view the 'Action Taken' summary on the dashboard of the app under margin shortfall banner. Spark Loans"
"Margin short fall - timer resumed
(lms/doctype/loan 912)","Dear Customer,The margin shortfall timer has been resumed on your loan account {loan} Please check the app and take appropriate action. -Spark Loans"
"Margin shortfall timer paused
(lms/doctyop/loan -887)","Dear Customer,\nDue to bank holiday the margin shortfall timer on your loan account {loan} has been paused on {stop_time} and will resume on {start_time}. Please check the app and take an appropriate action. -Spark Loans"
"Rebate reversed
(lms/doctyop/loan -1337)","Dear Customer,\nRebate of Rs. {} was reversed in your loan account {}. This will appear as 'Addl Interest' in your loan account. \nPlease pay the interest due before the 15th of this month in order to avoid the penal interest/charges.Kindly check the app for details - Spark Loans"
"Interest Due
(lms/doctyop/loan -1489)","Dear Customer,\nAn interest of Rs. {} is due on your loan account {}.\nPlease pay the interest due before the 7th of this month in order to continue to enjoy the rebate provided on the interest rate. Kindly check the app for details. - Spark Loans"
"Penal interest charged
(lms/doctyop/loan -1632)","Dear Customer,\nPenal interest of Rs.{} has been debited to your loan account {} .\nPlease pay the total interest due immediately in order to avoid further penal interest / charges. Kindly check the app for details - Spark Loans"
"Margin short fall - Action required at eod
(loan margin shortfall - 387)","Dear Customer,\nThank you for taking action against the margin shortfall.\nYou can view the 'Action Taken' summary on the dashboard of the app under margin shortfall banner. Spark Loans"
